label,tweet,label_id
random,@sirenasmaster well we shall see lol...i aint worried i leave it to God,7

random,Watching tv nd Textin my best friend,7

2012_Sandy_Hurricane,@Valerie_Mia how is it by you Valerie? It's really windy over here.,1

random,The lady on channel 4 news looks like @jekkkkax3 s mom,7

random,Hi Cav vmt WOW.. #HaveToAceMySATexam : ..better get it while u can http://t.co/nN4neU1z,7

random,In love with my bed except for the fact that every move you make something squeaks #thestruggle,7

random,@Fxq_Ya_Feelins u good nobody gon see lmfao,7

random,No normal people leave the airport this early,7

2012_Sandy_Hurricane,Hurricane sandy can suck it,1

2012_Sandy_Hurricane,Frankenstorm? More like zombie apocalypse. (at Manhattan) [pic]  http://t.co/kyzTKAog,1

random,"Promise that you'll sing about me 4eva, promise that you'll sing about me 4...ooOooo",7

random,@nathanandy lol no trauma to little man!,7

random,@steffffuhhknee omg I was just talking about that game. I fucking love it! Lmao,7

2012_Sandy_Hurricane,West side highway downtown is a swimming pool @FrankBeach_  @ Riverside Park North http://t.co/F7uL15nX,1

random,woke up in the worst pain in my knee #IHateRain,7

2012_Sandy_Hurricane,Moving Target! (@ Frankenstorm Apocalypse - Hurricane Sandy w/ 1057 others) http://t.co/ap6Pdf6X,1

random,I hope I'm able to make good friends when I move to Florida in two years :),7

2012_Sandy_Hurricane,"Wind Advisory issued for Union Center, NJ http://t.co/elByuKlj",1

2012_Sandy_Hurricane,"@Robyouells hey brotha, how u dealing with this weather?",1

random,"I'm at Mile End (Brooklyn, NY) w/ 4 others http://t.co/6XNIh6j3",7

random,@dominiloka YES to football but pending on ur tv u might lose the satelite n all that.,7

random,"@SandraMcGarrell I love you all deeply but until you can offer me a Jamba Juice, Whole Foods and Bud Light Lime, I'm staying put. X",7

random,"Got my loud, now I'm ready",7

random,@jvssica get the 5 on sprint..,7

2012_Sandy_Hurricane,"@jessicadelfino: Any chance #Mitt #Romney made this hurricane? #Sandy Our fault bc we depend on govt subways, roads and FEMA. Right?",1

2012_Sandy_Hurricane,What if the power goes out and I'm left with raw cupcakes? That would just be fucked.,1

random,Hehe @cha_patti: @aruna_dawn Can't wait to see your mummy on ITV tonight! Hope all's well.... Lots of chapatti love coming your way xxxxxx,7

2012_Sandy_Hurricane,"Hide your children, hide your wives! (@ Frankenstorm Apocalypse- Hurricane Sandy w/ @beer4molly @y_vo) http://t.co/cwZpTNB7",1

2012_Sandy_Hurricane,omg a huge tree just fell in my backyard so close to my house. this is too scary!,1

random,Love these bitches @jgords nichole_durant brooke_nicholeee92  @ Bamboo Bar http://t.co/so8RUPvA,7

2012_Sandy_Hurricane,I'm at Frankenstorm Apocalypse - Hurricane Sandy w/ @sarahjgiann http://t.co/lrH0HeaJ,1

2012_Sandy_Hurricane,Water has officially entered my house.,1

random,LMFAOO  @BollyWoodsOwn: If you text me right now prepare for a long ass conversation,7

random,A fuck nigga that's ; that shit I don't like !!,7

2012_Sandy_Hurricane,Why ppl crying and taking sandy serious? She's just a squirrel.,1

random,Put me as your screen saver so I know it's real,7

2012_Sandy_Hurricane,Storm is supposed to die down around midnight. 3 more hours of hell.,1

random,@Exotic_Asian_: Im really bored in bedddddd. Ahhhhhh I keep changing positions every 5 mins lmao,7

random,: Video Of ConEd Station On FDR And 14th Street Exploding http://t.co/nhU1igZx,7

random,@PrincessReb_: Jaime missed me texting him ugh me too . &amp; if wifi goes I'm done for lmao,7

random,@POInT_at_ASH thanks girl I'm home safe,7

random,@kritzkolesa coolest fork in town,7

random,"out to cnr, wish me luck lmao  i wish",7

random,I need some classic #Halloween movies in my life.,7

random,"I'm at NBCUniversal (New York, NY) http://t.co/LLvUhyrJ",7

random,Just gunna walk everywhere for now on.,7

random,MBFW S2013 FLASHBACK: BEAUTIFUL SILHOUETTES @reemacra!! This i @ Reem Acra Show @ Mercedes-Benz Fashion Week http://t.co/jvCcJMVV,7

random,When she says my name she's mad at me,7

2012_Sandy_Hurricane,Keep hearing a crazy grinding and lights keep flickering but thankfully we're still lit up here in Bayonne! #Sandy #sandyn12nj,1

random,#SATstudyTime .. GOODNESS I really wish my cousin had got that previously http://t.co/vXLm9pTW ya better get this #donttextmeif ckf,7

random,@richard1826 I'm so mad!! It was just his fingertips out! Ughhh,7

2012_Sandy_Hurricane,Who wants to o looting when sandy hits?!,1

random,Omg  @ Consolidated Edison of NY http://t.co/tQ9MSSBa,7

random,"IPHONES ARE OFFICIAL!! STAY FOCUS!!  @ Mott Haven (Bronx, NY) http://t.co/lK2ISQ28",7

random,i wanna go to the park lol,7

random,@iArrestNoCuffs mad ya man pays no mind during da game,7

2012_Sandy_Hurricane,@capitalV @macnrg The CALM before the storm...is over! http://t.co/L6NVT8BM,1

2012_Sandy_Hurricane,@James_Yammouni   good morning! Please pray for your USA east coast fans like me because a horrible hurricane is hitting us very soon 10,1

random,Class canceled Monday &amp; Tuesday.. Perfect,7

random,&amp; if I don't I'm paying someone to come out with me,7

random,"I'm so bored since i have no TV right now that I've heard all the songs on my phone #4,539",7

2012_Sandy_Hurricane,@Heady_Mo Rd better be safe that shit gonna hit tomorrow lol,1

random,@Automotive: Lamborghini Aventador http://t.co/jlnGZPoC because my next boyfriend will drive this! @lorrainepesola,7

random,new york from the Statue of Liberty (crown) http://t.co/62VX2L2B http://t.co/eixNarep,7

2012_Sandy_Hurricane,these hurricane sandy tweets are so hilarious tho,1

random,@_MonyMaknMitch: Think I'm a use this time off to get back n the gym u need too,7

random,trees n wine. #hurricanesupplies #sandy,7

random,@PatriArt: The Days of Our Lies #ObamaSoapOperas  nice,7

random,Maybe now you ignoramus might appreciate school 3-/,7

2012_Sandy_Hurricane,"There's a lot of good cops,volunteers, and emergency responders out there risking it all.. Thanks &amp; my thoughts are with you #hurricanesandy",1

random,My dream of having a fat guinea pig has been fulfilled,7

random,-' LmaO !!!! *grabs sneakers*  @BtwImPretty_: @JahTeflon_ lets get his ass out da pic,7

2012_Sandy_Hurricane,Thank god not every place was affected by the storm! (@ Uncle Louie G's Italian Ices &amp; Ice Cream) http://t.co/NWqRvNip,1

2012_Sandy_Hurricane,I'm at Frankenstorm Apocalypse - Hurricane Sandy w/ @megtowe http://t.co/p56xmALz,1

2012_Sandy_Hurricane,"Riding out Sandy @ my in-laws in Leonardo, NJ. My town of Keansburg, NJ is a lake!",1

2012_Sandy_Hurricane,lol @ my aunt saying she's not evacuating because a certain family by her house will be just waiting to steal everybody's shit #realtalk,1

random,@DayanaNarie: Let's fucking go! We about to make a comebackdnt gass.. Stay humble lol,7

random,@bissyv lmaoo I triedd but he's too scared to fall,7

random,"Lunch, meatballs... (@ Meatball Obsession) [pic]: http://t.co/rU8SeHmV",7

random,@RJ_Dizon @yoDenis_ @kervindoee lmao when I saw this I was like I have to show ya,7

random,#GNTGiveaway @GameNTrain is giving away 2800 MS Points! Enter today! http://t.co/v90Kr50r,7

2012_Sandy_Hurricane,U think hurricane Sandy is bad just wait till Hurricane Selver comes hehe,1

2012_Sandy_Hurricane,Ok people so I have to work keep me in your prayers many thanks #sandy2012,1

random,@JLawMiamiDoll I promise I am..  Thats where I was b4..,7

random,I'm saying it as if I'm not taken need this free just love spending time with my Roost,7

random,He's such a fat dike,7

random,Happy 1st Large Milk Chocolate Letters-Anniversary Birthday Gift for Boyfriend Girlfriend-Made to Order http://t.co/99dq39VB,7

random,Read between the lines. What the MTA is trying to say is we're all fucked.,7

random,#SATstudyTime .. OMG I wish my brother found this previously http://t.co/3o2hrJeQ you better get it now #Top10FavoriteSongs utv,7

random,Better be a sick joke,7

random,@Proud_Jamaican_ yeah we in Osric group lol so we pay 16,7

2012_Sandy_Hurricane,What even iz a hurricane...,1

random,@katieguardnuh IM REALLY EXCITED LIKE HELLO CHRISTMAS,7

random,Lumberjack (@ Good Stuff Diner) https://t.co/aF9z9N1b,7

2012_Sandy_Hurricane,@MilanaMay we are all in this together! #sandy #ssaf,1

random,Wooow James Harden to the Rockets?!,7

random,@ColeBronxx: @PorcDaddy no people who have an answer for everything SUCK &lt;&lt;&lt; Not true lol,7

random,@x__fIERCE yeahhh I don't think it will go that far I mean ur talking about over 50 blocks it will travel. I can't c that happening.,7

random,Hocus Pocus is such a great movie,7

random,"Coming soon! @ New York, NY http://t.co/cXDgYXhA",7

random,I don't wanna leave!  @ Central Park http://t.co/T31nX6xf,7

random,She got a big booty,7

2012_Sandy_Hurricane,considering rt 18 has become the raritan river I'm thinking no classes for RU tomorrow,1

2012_Sandy_Hurricane,Oh saamn sandy is basically already here if she boutta enter brigatine,1

2012_Sandy_Hurricane,Watching a movie on Netflix with baby and family &lt;3 perfect way to have a sick night with a hurricane outside lol.,1

2012_Sandy_Hurricane,So if I end up dying in this hurricane can I at least be drunk and eating sushi??,1

random,Ashley Belongs To Tizzies sdq WOW.. #StudyingForTheSAT : hurry before its unavailable http://t.co/pfxlDr5Y,7

random,Walking around my neighborhood right now. I don't normally curse but shit is real out here.,7

random,&amp;&amp; den shoot them wit a bb gun dat holds metal tips,7

2012_Sandy_Hurricane,"East side, west side, power off, power on - looking west from 3rd ave @ 30th http://t.co/aOwU7UEE",1

random,@JTD_23 yeah it is 15 mins away bro!,7

random,My babes not answering #WorriedAsFuckkkkk!,7

random,@emilyjn how is it at your end?,7

random,#SATstudyTime : #OMG // I wish we students had found that earlier http://t.co/h2Mjcuzi hurry before its unavailable #donttextmeif pmb,7

random,"@jdmitch no, just usual sign up/renewal",7

2012_Sandy_Hurricane,Waterfront Strike Team #hurricane #sandy #hoboken #nj @scottygo  @ City of Hoboken http://t.co/75aGDUf8,1

random,"sandy what's good?!  @ Matawan, NJ http://t.co/GjRIxdUM",7

2012_Sandy_Hurricane,"@GaryBYoung it's not that bad, a lot of flooding in the islands, driving around on the mainland right now http://t.co/MyiUUQqI",1

random,@sans_colon @dan_holguin What are you two what'ing about?,7

random,...but I want to make a sandwich @ associated http://t.co/wMEPjGa6,7

random,@MyNameIsDuncan yeah I heard. Are you in jersey or astoria?,7

random,I'm a Jewish mother.  @ Fair Lawn http://t.co/xdzdtlaD,7

2012_Sandy_Hurricane,@RyanNewYork just got done walking my two dogs through Bushwick. You'll make it! I didn't see too much open though.,1

random,@MayniacMax not when ur like right in the middle of it,7

2012_Sandy_Hurricane,Sandy stop me from watching bad girls club reunion last night....freakin bitch!!,1

2012_Sandy_Hurricane,@Jrizz1795 honestly with everything the news is saying I think the world is ending. #thedayaftertomorrow,1

random,"@LeslieMarshall also, read @MittRomney's op-Ed from 09, he did support govt financing for the bailout but after a structured bankruptcy",7

random,"When the tough get going, the going get tough",7

2012_Sandy_Hurricane,My heart is there ..... (@ Frankenstorm Apocalypse - Hurricane Sandy w/ @wolfsmak) http://t.co/Nv4lfJN2,1

2012_Sandy_Hurricane,@Drtysxyministry @fathertim @scottagunn @vapriestess @revlucymeg it's all over but the waiting now. Very little we can do here to prepare.,1

2012_Sandy_Hurricane,@phillipspaeth: I'm eating pop tarts in my bathtub shut up a storm is coming. pic please or better yet can I join you - I love pop tarts.,1

random,@Bethenny Aaand this is why I am among zillions who adore you.,7

2012_Sandy_Hurricane,@Real_Liam_Payne Follow me or I will send hurricane sandy to the uk. I TAKE THAT BACK BBY IM SORRY,1

random,"I hate seeing girls cry , unless ur a whore then u can drown in those tears no problem",7

2012_Sandy_Hurricane,NYC schools never close I've got a bad feeling about this #Sandy,1

random,Took a 20 min nap great,7

random,A random Halloween party. (at @Thompson_LES)  http://t.co/ZFawPkRd,7

random,I feel all I need a quill pen and I'm living like Benjamin Franklin.,7

random,@ChristiniBikini how did you find me? Hahaha but thank you!!,7

random,@b_yeager yours truly... Is one of those 8.2 million. Smh,7

2012_Sandy_Hurricane,We don't approve of this message.  #fuckoffsandy #marijuana #lmao #wut,1

random,I can't do nun if girls like me or think I'm cute or what Eva,7

2012_Sandy_Hurricane,It's 2012.  Why can't our phones &amp; laptops build ad-hoc mesh networks easily during disasters / outages?,1

random,#GottaAceMySATexam .. !!! I really wish I managed to get that previously http://t.co/6fBv6K1X ..better get it while u can AJ McCarron nzw,7

random,"After last night, every relationship I had with someone in #oomf 's house, is down the shitter. #nevergoingback #fuckthat",7

random,KELLY ROWLAND IN THE DEEP,7

2012_Sandy_Hurricane,All I want is my power back,1

random,Everyone serenade the new king,7

random,"100% agreed RT @jessespector: Thanks, NYPD and FDNY. Couldn't pay me enough to do what you do.",7

2012_Sandy_Hurricane,@IzabellaJG thanks! I'm in an area that's barely damaged but thankyou anyway!,1

random,"But hold your breath because tonight will be the night that I will fall for you over again, don't make me change my mind",7

random,That would be great if i actually had friends,7

2012_Sandy_Hurricane,@Bravotv: It's almost time for #AndysHurricaneParty. RT if you're watching and staying safe!!! #sandy #WWHL. I wud but have no power!!,1

2012_Sandy_Hurricane,Attention everyone I lost power,1

2012_Sandy_Hurricane,"Yup, that happened. #sandy  @ Trinity Church Cemetery &amp; Mausoleum http://t.co/z5gtDlqN",1

random,@MsSweetYvette the way you tweet about him seems a lot more than like .... Really,7

random,@casschin yeah you guys must have got shut off when I did! #goodluck man,7

2012_Sandy_Hurricane,"Where everybody at ? ,  Hurrican Sandy got niggas Shook !",1

random,Wtf ? No food at my house . You buggin' if you think i can live without food . I cant !,7

random,Happy birthday Gia! #hurricanebday #finallylegal # @ Gregory's Bar and Restaurant http://t.co/x7on96My,7

random,I hate young minded ass lil boys &amp; lil girls!,7

random,"@WPIX  bayonne park ,hudson county park, stephen r. Gregg whatever they call it now ??? Bayonne,n.j. http://t.co/J0KAC4dE",7

random,The city that never sleeps! http://t.co/AzzHTqpP,7

random,"@youneverdothat @jorgenotgeorge could've easily been mistaken for One who wishes for females to lay prone, for coitus too",7

random,@somuchunfortune Building up a portfolio of firms to work with on their social media strategy,7

random,I thought I heard a plane crashing but now I think it was your passion snapping,7

random,@lizchang_ awww hopefully we can play one more time before it gets cold,7

random,"I wish my boyfriend was here so we could cuddle, womp.",7

2012_Sandy_Hurricane,one of many unbelievable images #Sandy (@ Sandy Aftermathpocalypse 2012 w/ 271 others) [pic]: http://t.co/VT2XMlhY,1

random,My sister is playing cards while  listening to @AsherMonroe ... I'm guessing good luck charm?,7

2012_Sandy_Hurricane,"Someone's ready for #hurricanesandy! @ West Orange, NJ http://t.co/KRnnZL7M",1

random,Wish I was in Jamaica now,7

random,Me ;Mommy can we go to dunkin donuts ? * winks Her;  are you crazy * says Portuguese shit I don't understand. Me; so that's a yes?(:,7

2012_Sandy_Hurricane,Staying home because of the hurricane &lt; Bagels @ La Bagel Delight http://t.co/5NagKRM3,1

random,My dad can do 10 one handed pushups and he's 50 years old and 250 pounds  #getbig,7

random,"I'm at Redemption (New York, NY) w/ 6 others http://t.co/M32tqZmi",7

random,With my mom and sisters. It. Is. Empty. (@ Six Flags Great Adventure Employee Parking) http://t.co/ac7dYnX3,7

random,Phin. And I switched hats  @ Queens Plaza South http://t.co/HylLU52V,7

2012_Sandy_Hurricane,I get scared letting the dogs out. I don't want them to blow away ! Especially my westie.,1

2012_Sandy_Hurricane,@VioRuff omg bubbles im in the red zone im fucking scared to death. The waters gonna come ip.,1

2012_Sandy_Hurricane,I kinda scared of this hurricane I don't even know where to park my car.. Maybe under a bridge but with my luck the bridge will collapse,1

random,@CheyyDior_x3 didn't have anywhere to go ...,7

random,@mackslane: #ToMyFutureSon you'll be a meathead unlike his father,7

random,Why hasn't tech canceled classes?,7

random,@p_ersen I see you've got your priorities in order....,7

random,How you gonna act like a raging cunt and then be all nice ..,7

random,@MelissaViscera Doing so right now thank you,7

random,"I'd take a life for you, to spend my life with you.",7

2012_Sandy_Hurricane,(((((I'm actually really freaked out about the storm))))),1

